,coc_number,black,hispanic,share_rent,unemployment,share_pa,share_ssi,gini,rent,vacancy,single,veteran,poverty,older,pop_full,pop_pov,homeless,category,homeless_rate_full,homeless_rate_pov,state
38,CA-520,3.260057605,58.90327975,48.02150592,12.68566567,7.089917845,9.415119463,47.08,973,3.424864212,18.79757807,5.113278542,10.29349132,21.82031032,269075,27069,514,Suburban,19.10248072,189.8851084,CA
39,CA-521,2.713778683,31.54244408,48.28866821,6.457500769,4.038906271,5.495850905,49.31,1266,2.313428774,23.12066386,4.801965544,11.90816612,22.79918317,214977,24653,448,Suburban,20.83943864,181.7223056,CA
40,CA-522,1.167432679,11.31341701,43.14592662,8.035054377,3.44961026,8.559529733,47.54,947,2.735537527,33.0182247,7.956144358,8.602613165,30.18605268,135768,11397,703,Rural,51.77950622,616.8289901,CA
41,CA-523,1.131414429,40.32110313,37.97435226,6.517821017,4.536334293,8.113059409,47.54140848,824.2819215,3.417107584,24.40896798,7.398757232,7.364303178,30.24765762,62223,4518,268,Rural,43.07089019,593.1828243,CA
42,CA-524,2.589793715,29.37822776,42.00960044,9.127805402,4.909547481,9.851551957,43.82297552,970.581128,4.007130677,21.78889287,9.696315708,6.738590785,25.62133458,171365,11374,765,Suburban,44.64155458,672.586601,CA
43,CA-525,0.80038144,12.6598486,23.39385879,6.190062014,2.787254959,5.486323946,44.94,1200,4.881312544,23.48349043,9.436964422,3.818671221,36.90219167,186661,7065,645,Suburban,34.55462041,912.9511677,CA
44,CA-526,1.413262929,12.20751152,26.51783107,7.24895547,2.646266671,5.832819548,45.89868154,1064.141262,7.049726252,28.83148911,11.78290127,5.675671994,40.13369053,154536,8332,398,Rural,25.75451675,477.6764282,CA
45,CA-527,0.743218721,24.65245452,35.17169615,9.286328461,4.403746098,10.76378772,45.85,839,4.31372549,26.71800208,9.285951649,9.482841334,31.9505152,63373,5930,125,Rural,19.72448835,210.7925801,CA
46,CA-529,2.434994076,20.00062356,33.92513287,9.776247849,3.901255488,8.942463221,47.96,968,4.897567222,32.32688901,9.938437936,9.601840102,36.87722143,64148,6053,615,Rural,95.87204589,1016.025112,CA
47,CA-530,0.823230055,23.64316719,36.69211581,4.497203516,2.297981707,4.618640865,40.36238767,978.24652,22.17446673,38.40804294,8.577515324,4.485029575,34.8839994,33405,1471,157,Rural,46.99895225,1067.301156,CA
48,CA-601,5.038462435,33.5144102,46.92577168,6.39766205,2.500223418,5.009026077,46.3,1569,3.640366282,23.72062057,8.917198216,5.921005048,25.66990217,3302833,190745,8576,Urban,25.96558772,449.6054942,CA
49,CA-602,1.729736153,34.13820697,42.63032838,5.078525843,2.032889275,4.388336386,47,1777,3.210709905,21.05895834,4.579527395,5.183126896,27.30000992,3164182,162077,4955,Suburban,15.65965548,305.7188867,CA
50,CA-603,1.943939892,45.08516287,47.82080821,6.143733489,2.221271782,4.384597343,47.98,1576,2.733308384,23.64067825,6.389556453,7.010906692,24.94354777,443738,29762,1706,Suburban,38.44611009,573.2141657,CA
